Publication Date,FSIA
2000-01-26,97.99089917133325
2000-02-23,99.22491233454211
2000-03-22,99.03518226062052
2000-04-19,99.01722566024432
2000-05-17,99.18535727306306
2000-06-21,98.79884469240616
2000-07-19,98.7345312658023
2000-08-16,98.67427288826343
2000-09-20,98.73152594374604
2000-10-18,98.54560973754938
2000-11-22,99.1384490270783
2000-12-20,99.33788278007171
2001-01-24,99.51268025423619
2001-02-21,99.42798335759412
2001-03-21,99.53231304662138
2001-04-18,99.84051084406454
2001-05-23,99.45256172337201
2001-06-20,99.25588332983777
2001-07-18,99.58515042838422
2001-08-15,99.88866432086554
2001-09-19,98.96329862960575
2001-10-17,99.73348978873442
2001-11-21,99.6516804243234
2001-12-19,99.46971656530013
2002-01-23,100.02879392925568
2002-02-20,99.74730707696327
2002-03-20,98.80655939019312
2002-04-17,98.83715713464034
2002-05-22,98.90406369029498
2002-06-19,99.48894851787983
2002-07-17,99.99678429488478
2002-08-14,99.76016836195245
2002-09-18,99.4865317073881
2002-10-23,99.75512241136506
2002-11-20,98.80091112931338
2002-12-18,98.7118154971702
2003-01-22,99.4142868754104
2003-02-19,99.64128788824212
2003-03-19,99.34168516008798
2003-04-23,99.27386791382128
2003-05-21,99.7766604043442
2003-06-18,99.07825522122856
2003-07-23,99.54425470540482
2003-08-20,99.52122216412981
2003-09-17,98.61685265963622
2003-10-22,98.54608829337032
2003-11-19,98.65819958482855
2003-12-17,98.70241097006922
2004-01-21,99.3288413196047
2004-02-18,98.81679122379954
2004-03-17,98.5920966361838
2004-04-21,99.22049622323652
2004-05-19,98.28248146999488
2004-06-23,98.51927536893396
2004-07-21,98.70564941596861
2004-08-18,98.99029399410449
2004-09-22,98.81424730083498
2004-10-20,99.25329987454073
2004-11-17,98.77627509781667
2004-12-22,98.94268626817383
2005-01-26,99.75277145711411
2005-02-23,98.87400627010994
2005-03-23,99.90166522634073
2005-04-20,99.52971898476301
2005-05-18,100.6828089587886
2005-06-22,99.72388830488819
2005-07-20,99.08913855949984
2005-08-17,98.21349199782098
2005-09-21,99.40354788929167
2005-10-19,98.25222292956774
2005-11-23,98.24959175213928
2005-12-01,98.3402857161902
2006-01-25,99.28101330409082
2006-02-22,98.72197436865808
2006-03-22,98.79828403122978
2006-04-19,98.55971512417877
2006-05-17,99.21041004309414
2006-06-21,99.05291046087078
2006-07-19,99.55636602197788
2006-08-16,98.77473626182193
2006-09-20,99.51824026103968
2006-10-18,98.58011547674194
2006-11-22,99.84884378614925
2006-12-20,98.7561749037615
2007-01-24,99.53664580080294
2007-02-21,99.11852908700257
2007-03-21,100.07048613159918
2007-04-18,98.94936377546166
2007-05-23,99.5505893915327
2007-06-20,98.68443663720761
2007-07-18,98.90789143471763
2007-08-15,99.63685373951411
2007-09-19,100.79763602504246
2007-10-17,100.09502737205257
2007-11-21,100.54670590976306
2007-12-19,100.9689743439192
2008-01-23,101.99923885246311
2008-02-20,101.29246564884946
2008-03-19,101.85097200437006
2008-04-23,101.62112861736641
2008-05-21,101.42832627647269
2008-06-18,100.6481491761175
2008-07-23,100.46350963857513
2008-08-20,101.2007690250642
2008-09-17,101.86260077676953
2008-10-22,101.46212892066603
2008-11-19,101.93088888703015
2008-12-17,100.91194863311419
2009-01-21,101.7951033369727
2009-02-18,101.46035733630167
2009-03-18,100.01401794634852
2009-04-22,99.08463337284178
2009-05-20,99.87408069646295
2009-06-17,99.82566703177952
2009-07-22,99.34997462878526
2009-08-19,100.02234754455598
2009-09-23,100.12825243605101
2009-10-21,100.22685354192569
2009-11-18,101.12239190137527
2009-12-23,99.53973397861559
2010-01-20,99.87408069646295
2010-02-17,102.01377481796241
2010-03-17,100.54128151288161
2010-04-21,99.95143731285933
2010-05-19,102.17895624409103
2010-06-23,101.3546755151822
2010-07-21,100.9845047502661
2010-08-05,99.24485065821447
2010-09-09,100.87581637601589
2010-10-07,100.18876951690531
2010-11-17,101.5001065272051
2010-12-22,100.21131509604712
2011-01-26,100.97264848367577
2011-02-23,100.61639683658437
2011-03-23,101.17378157761891
2011-04-20,101.27041658230115
2011-05-18,101.18730135100125
2011-06-22,100.60368158923731
2011-07-20,101.15615285350272
2011-08-17,100.89685560067359
2011-09-21,102.75958166319661
2011-10-19,101.94768323382164
2011-11-23,101.227584193165
2011-12-21,101.27939256099692
2012-01-25,100.08339859965312
2012-02-22,101.57958810884672
2012-03-21,99.7716805711613
2012-04-18,99.71345827769551
2012-05-23,100.86712377206281
2012-06-20,101.13434890525374
2012-07-18,100.20064312137673
2012-08-15,100.32659454497811
2012-09-19,100.34006221904106
2012-10-17,99.79942885686367
2012-11-21,100.61611762341198
2012-12-19,99.37155794414764
2013-01-10,100.79165666201985
2013-02-20,100.11275415924686
2013-03-20,99.91193606193352
2013-04-17,101.22156469824965
2013-05-22,100.44389054403618
2013-06-19,100.45479251816067
2013-07-17,99.13483472146389
2013-08-14,99.45002214647667
2013-09-05,99.59699183281369
2013-10-23,99.52085673482955
2013-11-20,99.97231885348165
2013-12-18,100.16618851658654
2014-01-22,98.86628086187255
2014-02-19,100.22992113188624
2013-11-20,99.44886256608294
2014-04-23,101.60962147045994
2014-05-21,100.12090643201668
2014-06-18,99.04513422757918
2014-07-23,99.28101330409082
2014-08-20,100.14142195623693
2014-09-04,100.3867321712253
2014-10-22,101.3049734526624
2014-11-19,101.38023699491298
2015-01-21,100.39737545443838
2015-01-21,102.15191278308968
2015-02-18,100.79063939376535
2015-03-08,99.51268025423619
2015-04-09,100.20768110467229
2015-05-08,100.18974559885457
2015-06-03,100.27488997812105
